process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,0.9,0.0
MainProcess,setup_data_structures,0.6,0.0
MainProcess,initial_seed_balancing,22.9,0.4
MainProcess,meta_control_factoring,0.1,0.0
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,0.8,0.0
MainProcess,sub_balancing.geography=TAZ,1762.5,29.4
MainProcess,expand_households,90.9,1.5
MainProcess,write_data_dictionary,1.0,0.0
MainProcess,summarize,14.8,0.2
MainProcess,write_tables,8.7,0.1
MainProcess,write_synthetic_population,36.8,0.6
